t,tau_cmd,tau_meas,q,dq
7.037757781,-1.376245697,-1.310999990,6.475171566,-9.023352623
7.048239343,-1.360053400,-1.348999977,6.370451927,-9.232791901
7.058727822,-1.342905724,-1.310999990,6.265731812,-9.442231178
7.069267238,-1.324734890,-1.368000031,6.161012173,-9.634217262
7.079779313,-1.305685366,-1.234999895,6.056292534,-9.843656540
7.090281614,-1.285743502,-1.273000002,5.934119225,-10.035643578
7.100758371,-1.264957665,-1.215999961,5.829399586,-10.210176468
7.111407284,-1.242931650,-1.215999961,5.724679947,-10.402162552
7.122495238,-1.219051707,-1.215999961,5.602507114,-10.576695442
7.133287271,-1.194899858,-1.215999961,5.480333805,-10.751228333
7.143793021,-1.170544199,-1.159000039,5.358160973,-10.908308029
7.154311798,-1.145340816,-1.139999986,5.235987663,-11.047934532
7.164718505,-1.119618217,-0.778999984,5.113814831,-11.170106888
7.175243196,-1.092825125,-0.835999966,4.991641521,-11.257373810
7.185861508,-1.065018943,-0.854999959,4.869468689,-11.309733391
7.196345358,-1.036820697,-0.893000007,4.747295380,-11.362092972
7.206807819,-1.007962388,-0.835999966,4.625122547,-11.397000313
7.217373636,-0.978111808,-0.835999966,4.502949238,-11.414453506
7.227747917,-0.948131189,-0.817000031,4.398229599,-11.431906700
7.238234505,-0.917171061,-0.817000031,4.276056767,-11.449359894
7.248733371,-0.885536524,-0.835999966,4.153883457,-11.449359894
7.259252082,-0.853223939,-0.854999959,4.031710625,-11.466813087
7.269783887,-0.820273756,-0.778999984,3.909537554,-11.466813087
7.280247741,-0.786966996,-0.778999984,3.787364483,-11.466813087
7.290779145,-0.752895747,-0.740999937,3.665191412,-11.466813087
7.301274458,-0.718416514,-0.740999937,3.543018341,-11.466813087
7.311784527,-0.683387932,-0.703000009,3.438298702,-11.449359894
7.322274590,-0.647950576,-0.664999962,3.316125631,-11.431906700
7.332794442,-0.611960338,-0.684000015,3.193952560,-11.414453506
7.343285259,-0.575643423,-0.627000034,3.071779490,-11.379547119
7.353752124,-0.539010622,-0.588999987,2.949606419,-11.344639778
7.364400868,-0.501358659,-0.588999987,2.844886780,-11.309733391
7.374996236,-0.463538987,-0.493999988,2.722713709,-11.257373810
7.385804416,-0.424621231,-0.513000011,2.600540638,-11.205014229
7.396284080,-0.386586945,-0.493999988,2.478367567,-11.135200500
7.406897163,-0.347795247,-0.437000006,2.356194496,-11.065387726
7.417404513,-0.309146171,-0.398999989,2.251474619,-10.978120804
7.427891229,-0.270358032,-0.361000001,2.129301786,-10.890854836
7.438245269,-0.231876280,-0.284999996,2.024581909,-10.803587914
7.448726610,-0.192761593,-0.303999990,1.919862151,-10.698868752
7.459243917,-0.153378273,-0.266000003,1.797689080,-10.594148636
7.469867482,-0.113488364,-0.189999998,1.692969322,-10.471975327
7.480319606,-0.074163089,-0.171000004,1.588249564,-10.332348824
7.491000842,-0.033923134,-0.133000001,1.483529806,-10.192723274
7.501917940,0.007230435,-0.075999998,1.378810167,-10.035643578
7.512818426,0.048315969,-0.018999999,1.274090409,-9.843656540
7.523270510,0.087677752,0.000000000,1.169370651,-9.686577797
7.533854987,0.127476347,-0.018999999,1.082104087,-9.512043953
7.544356575,0.166874199,0.000000000,0.977384388,-9.337511063
7.554742155,0.205722612,0.133000001,0.890117943,-9.145524979
7.565230957,0.244814802,0.094999999,0.802851439,-8.953538895
7.575729099,0.283771451,0.171000004,0.715584993,-8.744099617
7.586213992,0.322481784,0.189999998,0.628318548,-8.534660339
7.596718725,0.361040796,0.246999994,0.541052043,-8.307766914
7.607224675,0.399352590,0.227999985,0.453785598,-8.080874443
7.617730879,0.437386892,0.303999990,0.383972436,-7.836528301
