t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
2.521491256,-1.498769369,-1.386999965,-1.446253611,8.866272926,-8.674286842,-8.252577453,-21.467399462
2.531990432,-1.497273710,-1.444000006,-1.435482199,8.779006004,-8.901179314,-8.477956950,-21.057037668
2.542640698,-1.495157403,-1.406000018,-1.423462291,8.674286842,-9.110618591,-8.697797459,-20.617576785
2.553140323,-1.492481196,-1.424999952,-1.430834324,8.569566727,-9.320057869,-8.914023694,-20.682371234
2.563728387,-1.489190464,-1.424999952,-1.419990126,8.464846611,-9.546951294,-9.133956619,-20.273301082
2.574675207,-1.485164602,-1.481999874,-1.418156524,8.360127449,-9.756390572,-9.350243158,-20.099683669
2.585147195,-1.480721567,-1.386999965,-1.431345727,8.237954140,-9.965829849,-9.564150375,-20.316464120
2.595656721,-1.475682577,-1.481999874,-1.418038286,8.133234024,-10.175269127,-9.776505050,-19.848028734
2.606189515,-1.470051416,-1.368000031,-1.392485083,8.028514862,-10.367256165,-9.981782274,-19.066621175
2.617291103,-1.463488986,-1.368000031,-1.383322092,7.906341553,-10.576695442,-10.188505750,-18.708788953
2.628339530,-1.456321737,-1.386999965,-1.386459662,7.784168243,-10.786134720,-10.396172926,-18.668925037
2.639244654,-1.448628067,-1.139999986,-1.340910363,7.644542217,-10.978120804,-10.598391156,-17.371509618
2.650403760,-1.440121614,-0.949999988,-1.257748016,7.522368908,-11.117747307,-10.778859692,-15.112801830
2.661357300,-1.431152182,-0.893000007,-1.172649626,7.400196075,-11.222467422,-10.933006779,-12.819311396
2.672132337,-1.421733656,-0.911999941,-1.085532434,7.278022766,-11.292280197,-11.057848947,-10.490635250
2.682717891,-1.411909649,-0.835999966,-1.000406573,7.155849934,-11.344639778,-11.157504494,-8.228212601
2.693753297,-1.401069764,-0.874000013,-0.918565950,7.016223431,-11.379547119,-11.234661003,-6.063981315
2.704724632,-1.389691865,-0.854999959,-0.861059793,6.894050598,-11.397000313,-11.291071498,-4.541981380
2.715582708,-1.377846251,-0.893000007,-0.824803085,6.771877289,-11.414453506,-11.333944911,-3.578123201
2.726163491,-1.365747872,-0.854999959,-0.801940319,6.649704456,-11.431906700,-11.367985175,-2.966247868
2.736560504,-1.353330421,-0.874000013,-0.774512923,6.527531624,-11.449359894,-11.396261679,-2.239534435
2.747081903,-1.340235300,-0.893000007,-0.744271524,6.405358315,-11.449359894,-11.414712519,-1.445683645
2.757686775,-1.326502883,-0.893000007,-0.724440096,6.283185482,-11.449359894,-11.426751966,-0.925134484
2.768845426,-1.311481198,-0.949999988,-0.711476951,6.161012173,-11.449359894,-11.434607885,-0.584876879
